5 Minutes	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
03/18/2014 00:00	50	69.6	3	100
03/18/2014 00:05	59	69.7	3	100
03/18/2014 00:10	27	69.9	3	100
03/18/2014 00:15	44	69.1	3	100
03/18/2014 00:20	39	66.5	3	100
03/18/2014 00:25	34	68.6	3	100
03/18/2014 00:30	32	69.6	3	100
03/18/2014 00:35	28	68.1	3	100
03/18/2014 00:40	24	67.3	3	100
03/18/2014 00:45	31	67.2	3	100
03/18/2014 00:50	29	66.7	3	100
03/18/2014 00:55	26	62.9	3	100
03/18/2014 01:00	20	65.8	3	100
03/18/2014 01:05	28	67.4	3	100
03/18/2014 01:10	31	69	3	100
03/18/2014 01:15	18	66.8	3	100
03/18/2014 01:20	23	69.2	3	100
03/18/2014 01:25	33	68.2	3	100
03/18/2014 01:30	40	68.3	3	100
03/18/2014 01:35	24	67.1	3	100
03/18/2014 01:40	17	65.4	3	100
03/18/2014 01:45	27	67.2	3	100
03/18/2014 01:50	28	66.3	3	100
03/18/2014 01:55	20	66.7	3	100
03/18/2014 02:00	18	67.4	3	100
03/18/2014 02:05	31	62.3	3	100
03/18/2014 02:10	23	63.9	3	100
03/18/2014 02:15	20	62	3	100
03/18/2014 02:20	25	64.8	3	100
03/18/2014 02:25	17	61.6	3	100
03/18/2014 02:30	22	62.5	3	100
03/18/2014 02:35	22	63.2	3	100
03/18/2014 02:40	26	65.8	3	100
03/18/2014 02:45	21	60	3	100
03/18/2014 02:50	25	64.2	3	100
03/18/2014 02:55	27	60.9	3	100
03/18/2014 03:00	30	56.8	3	100
03/18/2014 03:05	16	60.2	3	100
03/18/2014 03:10	21	62.4	3	100
03/18/2014 03:15	36	54.3	3	100
03/18/2014 03:20	27	60.7	3	100
03/18/2014 03:25	17	61.7	3	100
03/18/2014 03:30	24	65.7	3	100
03/18/2014 03:35	28	61.2	3	100
03/18/2014 03:40	30	59.2	3	100
