Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0189	59	3	100
03/13/2014 00:05:00	.0233	56	3	100
03/13/2014 00:10:00	.0132	50	3	100
03/13/2014 00:15:00	.0241	68	3	100
03/13/2014 00:20:00	.0236	64	3	100
03/13/2014 00:25:00	.0253	63	3	100
03/13/2014 00:30:00	.0202	69	3	100
03/13/2014 00:35:00	.0189	56	3	100
03/13/2014 00:40:00	.0233	67	3	100
03/13/2014 00:45:00	.0144	51	3	100
03/13/2014 00:50:00	.0203	48	3	100
03/13/2014 00:55:00	.016	54	3	100
03/13/2014 01:00:00	.0146	47	3	100
03/13/2014 01:05:00	.0134	39	3	100
03/13/2014 01:10:00	.0141	44	3	100
03/13/2014 01:15:00	.0078	33	3	100
03/13/2014 01:20:00	.0141	44	3	100
03/13/2014 01:25:00	.0168	45	3	100
03/13/2014 01:30:00	.0209	58	3	100
03/13/2014 01:35:00	.0133	52	3	100
03/13/2014 01:40:00	.0175	46	3	100
03/13/2014 01:45:00	.0124	30	3	100
03/13/2014 01:50:00	.0134	30	3	100
03/13/2014 01:55:00	.0197	42	3	100
03/13/2014 02:00:00	.003	17	3	100
03/13/2014 02:05:00	.014	31	3	100
03/13/2014 02:10:00	.006	23	3	100
03/13/2014 02:15:00	.012	30	3	100
03/13/2014 02:20:00	.0074	18	3	100
03/13/2014 02:25:00	.0076	23	3	100
03/13/2014 02:30:00	.0113	28	3	100
03/13/2014 02:35:00	.012	26	3	100
03/13/2014 02:40:00	.0083	21	3	100
03/13/2014 02:45:00	.0091	25	3	100
03/13/2014 02:50:00	.0119	27	3	100
03/13/2014 02:55:00	.0079	29	3	100
03/13/2014 03:00:00	.0166	49	3	100
03/13/2014 03:05:00	.0076	24	3	100
03/13/2014 03:10:00	.011	20	3	100
03/13/2014 03:15:00	.0187	35	3	100
03/13/2014 03:20:00	.0164	33	3	100
03/13/2014 03:25:00	.0285	48	3	100
03/13/2014 03:30:00	.0148	27	3	100
03/13/2014 03:35:00	.0145	32	3	100
03/13/2014 03:40:00	.0133	35	3	100
03/13/2014 03:45:00	.0124	33	3	100
03/13/2014 03:50:00	.0111	26	3	100
03/13/2014 03:55:00	.0236	52	3	100
03/13/2014 04:00:00	.0133	32	3	100
03/13/2014 04:05:00	.0168	38	3	100
03/13/2014 04:10:00	.0112	32	3	100
03/13/2014 04:15:00	.0225	49	3	100
03/13/2014 04:20:00	.0201	35	3	100
03/13/2014 04:25:00	.0144	36	3	100
03/13/2014 04:30:00	.0148	42	3	100
03/13/2014 04:35:00	.0151	45	3	100
03/13/2014 04:40:00	.0107	38	3	100
03/13/2014 04:45:00	.0205	56	3	100
03/13/2014 04:50:00	.0159	46	3	100
03/13/2014 04:55:00	.02	51	3	100
03/13/2014 05:00:00	.0245	55	3	100
03/13/2014 05:05:00	.0208	55	3	100
03/13/2014 05:10:00	.0245	53	3	100
03/13/2014 05:15:00	.0178	67	3	100
03/13/2014 05:20:00	.0243	73	3	100
03/13/2014 05:25:00	.033	95	3	100
03/13/2014 05:30:00	.0362	90	3	100
03/13/2014 05:35:00	.0328	109	3	100
03/13/2014 05:40:00	.0269	95	3	100
03/13/2014 05:45:00	.0266	96	3	100
03/13/2014 05:50:00	.0353	108	3	100
03/13/2014 05:55:00	.0494	108	3	100
03/13/2014 06:00:00	.047	144	3	100
03/13/2014 06:05:00	.0413	122	3	100
03/13/2014 06:10:00	.0348	124	3	100
03/13/2014 06:15:00	.0515	154	3	100
03/13/2014 06:20:00	.0467	166	3	100
