Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0126	67	3	100
03/13/2014 00:05:00	.0123	65	3	100
03/13/2014 00:10:00	.0095	52	3	100
03/13/2014 00:15:00	.0142	75	3	100
03/13/2014 00:20:00	.012	66	3	100
03/13/2014 00:25:00	.0101	56	3	100
03/13/2014 00:30:00	.0132	74	3	100
03/13/2014 00:35:00	.0119	62	3	100
03/13/2014 00:40:00	.0118	63	3	100
03/13/2014 00:45:00	.0074	43	3	100
03/13/2014 00:50:00	.0102	56	3	100
03/13/2014 00:55:00	.0138	74	3	100
03/13/2014 01:00:00	.0101	50	3	100
03/13/2014 01:05:00	.0062	35	3	100
03/13/2014 01:10:00	.0071	35	3	100
03/13/2014 01:15:00	.0052	31	3	100
03/13/2014 01:20:00	.0075	42	3	100
03/13/2014 01:25:00	.0084	46	3	100
03/13/2014 01:30:00	.0128	64	3	100
03/13/2014 01:35:00	.0089	50	3	100
03/13/2014 01:40:00	.0063	35	3	100
03/13/2014 01:45:00	.0047	26	3	100
03/13/2014 01:50:00	.0051	24	3	100
03/13/2014 01:55:00	.0047	26	3	100
03/13/2014 02:00:00	.0019	11	3	100
03/13/2014 02:05:00	.004	23	3	100
03/13/2014 02:10:00	.003	18	3	100
03/13/2014 02:15:00	.0041	24	3	100
03/13/2014 02:20:00	.0021	12	3	100
03/13/2014 02:25:00	.0034	19	3	100
03/13/2014 02:30:00	.0047	26	3	100
03/13/2014 02:35:00	.0027	17	3	100
03/13/2014 02:40:00	.0036	21	3	100
03/13/2014 02:45:00	.002	13	3	100
03/13/2014 02:50:00	.0024	15	3	100
03/13/2014 02:55:00	.0038	21	3	100
03/13/2014 03:00:00	.0033	18	3	100
03/13/2014 03:05:00	.0018	10	3	100
03/13/2014 03:10:00	.0025	16	3	100
03/13/2014 03:15:00	.0033	17	3	100
03/13/2014 03:20:00	.0025	14	3	100
03/13/2014 03:25:00	.005	24	3	100
03/13/2014 03:30:00	.003	15	3	100
03/13/2014 03:35:00	.0036	19	3	100
03/13/2014 03:40:00	.0032	19	3	100
03/13/2014 03:45:00	.0026	12	3	100
03/13/2014 03:50:00	.0037	19	3	100
03/13/2014 03:55:00	.0045	19	3	100
03/13/2014 04:00:00	.0017	9	3	100
03/13/2014 04:05:00	.0039	21	3	100
03/13/2014 04:10:00	.0028	16	3	100
03/13/2014 04:15:00	.0041	22	3	100
03/13/2014 04:20:00	.0031	17	3	100
03/13/2014 04:25:00	.0057	29	3	100
03/13/2014 04:30:00	.0058	34	3	100
03/13/2014 04:35:00	.0037	23	3	100
03/13/2014 04:40:00	.0048	29	3	100
03/13/2014 04:45:00	.0075	42	3	100
03/13/2014 04:50:00	.0069	38	3	100
03/13/2014 04:55:00	.0064	36	3	100
03/13/2014 05:00:00	.0082	45	3	100
03/13/2014 05:05:00	.0104	55	3	100
03/13/2014 05:10:00	.0114	61	3	100
03/13/2014 05:15:00	.0118	65	3	100
03/13/2014 05:20:00	.0142	76	3	100
03/13/2014 05:25:00	.0177	95	3	100
03/13/2014 05:30:00	.021	107	3	100
03/13/2014 05:35:00	.0218	122	3	100
03/13/2014 05:40:00	.0241	130	3	100
03/13/2014 05:45:00	.0237	129	3	100
03/13/2014 05:50:00	.0266	143	3	100
03/13/2014 05:55:00	.0285	141	3	100
03/13/2014 06:00:00	.0368	192	3	100
03/13/2014 06:05:00	.0273	138	3	100
03/13/2014 06:10:00	.0354	189	3	100
03/13/2014 06:15:00	.0398	206	3	100
03/13/2014 06:20:00	.0459	237	3	100
03/13/2014 06:25:00	.0559	278	3	100
03/13/2014 06:30:00	.0568	285	3	100
03/13/2014 06:35:00	.066	329	3	100
03/13/2014 06:40:00	.0864	419	3	100
03/13/2014 06:45:00	.0733	366	3	100
03/13/2014 06:50:00	.0718	360	3	100
03/13/2014 06:55:00	.0784	390	3	100
03/13/2014 07:00:00	.0706	355	3	100
03/13/2014 07:05:00	.0883	425	3	100
03/13/2014 07:10:00	.0848	429	3	100
03/13/2014 07:15:00	.0995	488	3	100
03/13/2014 07:20:00	.101	498	3	100
03/13/2014 07:25:00	.1222	578	3	100
03/13/2014 07:30:00	.1159	550	3	100
03/13/2014 07:35:00	.1165	554	3	100
03/13/2014 07:40:00	.1625	535	3	100
03/13/2014 07:45:00	.1023	458	3	100
03/13/2014 07:50:00	.1255	545	3	100
03/13/2014 07:55:00	.1207	508	3	100
03/13/2014 08:00:00	.1127	516	3	100
03/13/2014 08:05:00	.1039	507	3	100
03/13/2014 08:10:00	.1222	605	3	100
03/13/2014 08:15:00	.116	548	3	100
03/13/2014 08:20:00	.1059	514	3	100
03/13/2014 08:25:00	.1185	547	3	100
03/13/2014 08:30:00	.1238	597	3	100
03/13/2014 08:35:00	.1139	531	3	100
03/13/2014 08:40:00	.113	541	3	100
03/13/2014 08:45:00	.1067	509	3	100
03/13/2014 08:50:00	.0886	436	3	100
03/13/2014 08:55:00	.0787	399	3	100
03/13/2014 09:00:00	.0743	371	3	100
03/13/2014 09:05:00	.0741	360	3	100
03/13/2014 09:10:00	.0651	311	3	100
03/13/2014 09:15:00	.0732	369	3	100
03/13/2014 09:20:00	.0735	368	3	100
03/13/2014 09:25:00	.0687	345	3	100
03/13/2014 09:30:00	.0799	384	3	100
03/13/2014 09:35:00	.0741	367	3	100
03/13/2014 09:40:00	.0776	383	3	100
03/13/2014 09:45:00	.0653	331	3	100
03/13/2014 09:50:00	.0627	332	3	100
03/13/2014 09:55:00	.0687	340	3	100
03/13/2014 10:00:00	.064	322	3	100
03/13/2014 10:05:00	.0733	376	3	100
03/13/2014 10:10:00	.06	292	3	100
03/13/2014 10:15:00	.0722	345	3	100
03/13/2014 10:20:00	.0726	346	3	100
03/13/2014 10:25:00	.0629	313	3	100
03/13/2014 10:30:00	.0636	306	3	100
03/13/2014 10:35:00	.0766	372	3	100
03/13/2014 10:40:00	.0779	390	3	100
03/13/2014 10:45:00	.064	316	3	100
03/13/2014 10:50:00	.0744	361	3	100
03/13/2014 10:55:00	.0653	318	3	100
03/13/2014 11:00:00	.0688	341	3	100
03/13/2014 11:05:00	.0645	324	3	100
03/13/2014 11:10:00	.071	350	3	100
03/13/2014 11:15:00	.0717	343	3	100
03/13/2014 11:20:00	.086	416	3	100
03/13/2014 11:25:00	.0835	414	3	100
03/13/2014 11:30:00	.0782	388	3	100
03/13/2014 11:35:00	.0856	406	3	100
03/13/2014 11:40:00	.078	380	3	100
03/13/2014 11:45:00	.0773	380	3	100
03/13/2014 11:50:00	.0726	351	3	100
03/13/2014 11:55:00	.0755	363	3	100
03/13/2014 12:00:00	.0613	310	3	100
03/13/2014 12:05:00	.0725	355	3	100
03/13/2014 12:10:00	.0812	386	3	100
03/13/2014 12:15:00	.0904	441	3	100
03/13/2014 12:20:00	.0846	408	3	100
03/13/2014 12:25:00	.0765	366	3	100
03/13/2014 12:30:00	.0772	374	3	100
03/13/2014 12:35:00	.0872	424	3	100
03/13/2014 12:40:00	.082	399	3	100
03/13/2014 12:45:00	.0813	402	3	100
03/13/2014 12:50:00	.0774	377	3	100
03/13/2014 12:55:00	.0778	386	3	100
03/13/2014 13:00:00	.0677	325	3	100
03/13/2014 13:05:00	.0768	367	3	100
03/13/2014 13:10:00	.0585	285	3	100
03/13/2014 13:15:00	.0751	366	3	100
03/13/2014 13:20:00	.0718	348	3	100
03/13/2014 13:25:00	.0852	413	3	100
03/13/2014 13:30:00	.0907	448	3	100
03/13/2014 13:35:00	.0747	369	3	100
03/13/2014 13:40:00	.0938	443	3	100
03/13/2014 13:45:00	.083	401	3	100
03/13/2014 13:50:00	.0896	417	3	100
03/13/2014 13:55:00	.0764	372	3	100
03/13/2014 14:00:00	.0896	413	3	100
03/13/2014 14:05:00	.082	400	3	100
03/13/2014 14:10:00	.0928	447	3	100
03/13/2014 14:15:00	.0979	450	3	100
03/13/2014 14:20:00	.0995	467	3	100
03/13/2014 14:25:00	.0972	453	3	100
03/13/2014 14:30:00	.0934	424	3	100
03/13/2014 14:35:00	.1242	565	3	100
03/13/2014 14:40:00	.0998	470	3	100
03/13/2014 14:45:00	.1135	533	3	100
03/13/2014 14:50:00	.1033	480	3	100
03/13/2014 14:55:00	.1059	501	3	100
03/13/2014 15:00:00	.1128	512	3	100
03/13/2014 15:05:00	.1222	540	3	100
03/13/2014 15:10:00	.1219	557	3	100
03/13/2014 15:15:00	.126	580	3	100
03/13/2014 15:20:00	.117	534	3	100
03/13/2014 15:25:00	.1066	496	3	100
03/13/2014 15:30:00	.1202	501	3	100
03/13/2014 15:35:00	.1234	528	3	100
03/13/2014 15:40:00	.1631	537	3	100
03/13/2014 15:45:00	.1861	472	3	100
03/13/2014 15:50:00	.128	478	3	100
03/13/2014 15:55:00	.1169	500	3	100
03/13/2014 16:00:00	.1102	496	3	100
03/13/2014 16:05:00	.1135	484	3	100
03/13/2014 16:10:00	.1721	402	3	100
03/13/2014 16:15:00	.1371	477	3	100
03/13/2014 16:20:00	.1807	419	3	100
03/13/2014 16:25:00	.2118	457	3	100
03/13/2014 16:30:00	.2202	380	3	100
