Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0163	64	3	100
03/13/2014 00:05:00	.0173	60	3	100
03/13/2014 00:10:00	.0123	53	3	100
03/13/2014 00:15:00	.0156	60	3	100
03/13/2014 00:20:00	.0189	72	3	100
03/13/2014 00:25:00	.0182	70	3	100
03/13/2014 00:30:00	.0161	67	3	100
03/13/2014 00:35:00	.0155	57	3	100
03/13/2014 00:40:00	.0177	73	3	100
03/13/2014 00:45:00	.011	44	3	100
03/13/2014 00:50:00	.0147	53	3	100
03/13/2014 00:55:00	.0113	57	3	100
03/13/2014 01:00:00	.0141	54	3	100
03/13/2014 01:05:00	.0119	47	3	100
03/13/2014 01:10:00	.0096	36	3	100
03/13/2014 01:15:00	.0073	31	3	100
03/13/2014 01:20:00	.0099	39	3	100
03/13/2014 01:25:00	.0103	44	3	100
03/13/2014 01:30:00	.0158	54	3	100
03/13/2014 01:35:00	.0126	55	3	100
03/13/2014 01:40:00	.0127	45	3	100
03/13/2014 01:45:00	.0083	32	3	100
03/13/2014 01:50:00	.0066	22	3	100
03/13/2014 01:55:00	.0133	38	3	100
03/13/2014 02:00:00	.0043	19	3	100
03/13/2014 02:05:00	.0063	18	3	100
03/13/2014 02:10:00	.0061	27	3	100
03/13/2014 02:15:00	.0058	22	3	100
03/13/2014 02:20:00	.0069	21	3	100
03/13/2014 02:25:00	.0052	20	3	100
03/13/2014 02:30:00	.0088	27	3	100
03/13/2014 02:35:00	.0077	25	3	100
03/13/2014 02:40:00	.0056	19	3	100
03/13/2014 02:45:00	.0051	20	3	100
03/13/2014 02:50:00	.005	21	3	100
03/13/2014 02:55:00	.0076	23	3	100
03/13/2014 03:00:00	.0076	31	3	100
03/13/2014 03:05:00	.0066	22	3	100
03/13/2014 03:10:00	.0065	17	3	100
03/13/2014 03:15:00	.0096	25	3	100
03/13/2014 03:20:00	.0075	19	3	100
03/13/2014 03:25:00	.014	37	3	100
03/13/2014 03:30:00	.0148	31	3	100
03/13/2014 03:35:00	.0072	24	3	100
03/13/2014 03:40:00	.0086	27	3	100
03/13/2014 03:45:00	.0073	22	3	100
03/13/2014 03:50:00	.0072	23	3	100
03/13/2014 03:55:00	.0117	30	3	100
03/13/2014 04:00:00	.0086	22	3	100
03/13/2014 04:05:00	.0101	31	3	100
03/13/2014 04:10:00	.0077	22	3	100
03/13/2014 04:15:00	.013	38	3	100
03/13/2014 04:20:00	.0064	20	3	100
03/13/2014 04:25:00	.0135	40	3	100
03/13/2014 04:30:00	.0106	35	3	100
03/13/2014 04:35:00	.0084	34	3	100
03/13/2014 04:40:00	.0084	34	3	100
03/13/2014 04:45:00	.0126	44	3	100
03/13/2014 04:50:00	.0107	48	3	100
03/13/2014 04:55:00	.0104	37	3	100
03/13/2014 05:00:00	.018	60	3	100
03/13/2014 05:05:00	.0149	53	3	100
03/13/2014 05:10:00	.0174	61	3	100
03/13/2014 05:15:00	.0162	67	3	100
03/13/2014 05:20:00	.0189	76	3	100
03/13/2014 05:25:00	.0237	89	3	100
03/13/2014 05:30:00	.025	105	3	100
03/13/2014 05:35:00	.0307	115	3	100
03/13/2014 05:40:00	.0275	121	3	100
03/13/2014 05:45:00	.0246	116	3	100
03/13/2014 05:50:00	.0307	130	3	100
03/13/2014 05:55:00	.0345	124	3	100
03/13/2014 06:00:00	.0481	181	3	100
03/13/2014 06:05:00	.0306	115	3	100
03/13/2014 06:10:00	.0366	165	3	100
03/13/2014 06:15:00	.0452	185	3	100
03/13/2014 06:20:00	.0467	199	3	100
03/13/2014 06:25:00	.0534	223	3	100
03/13/2014 06:30:00	.0502	214	3	100
03/13/2014 06:35:00	.0653	270	3	100
03/13/2014 06:40:00	.0718	297	3	100
03/13/2014 06:45:00	.0749	321	3	100
03/13/2014 06:50:00	.072	303	3	100
03/13/2014 06:55:00	.0622	278	3	100
03/13/2014 07:00:00	.0631	279	3	100
03/13/2014 07:05:00	.0805	328	3	100
03/13/2014 07:10:00	.0778	347	3	100
03/13/2014 07:15:00	.087	363	3	100
03/13/2014 07:20:00	.0908	385	3	100
03/13/2014 07:25:00	.1068	428	3	100
03/13/2014 07:30:00	.1096	448	3	100
03/13/2014 07:35:00	.1296	448	3	100
03/13/2014 07:40:00	.1256	466	3	100
03/13/2014 07:45:00	.0983	411	3	100
03/13/2014 07:50:00	.1115	456	3	100
03/13/2014 07:55:00	.1158	476	3	100
03/13/2014 08:00:00	.0985	432	3	100
03/13/2014 08:05:00	.0954	399	3	100
03/13/2014 08:10:00	.1062	470	3	100
03/13/2014 08:15:00	.1096	465	3	100
03/13/2014 08:20:00	.103	455	3	100
03/13/2014 08:25:00	.1115	454	3	100
03/13/2014 08:30:00	.1149	477	3	100
03/13/2014 08:35:00	.1056	448	3	100
03/13/2014 08:40:00	.1095	460	3	100
03/13/2014 08:45:00	.0991	409	3	100
03/13/2014 08:50:00	.0885	372	3	100
03/13/2014 08:55:00	.0744	325	3	100
03/13/2014 09:00:00	.0749	322	3	100
03/13/2014 09:05:00	.0728	308	3	100
03/13/2014 09:10:00	.0642	281	3	100
03/13/2014 09:15:00	.0611	269	3	100
03/13/2014 09:20:00	.0681	287	3	100
03/13/2014 09:25:00	.0729	309	3	100
03/13/2014 09:30:00	.0782	315	3	100
03/13/2014 09:35:00	.0798	311	3	100
03/13/2014 09:40:00	.0775	322	3	100
03/13/2014 09:45:00	.0665	271	3	100
03/13/2014 09:50:00	.0702	295	3	100
03/13/2014 09:55:00	.0667	276	3	100
03/13/2014 10:00:00	.0623	259	3	100
03/13/2014 10:05:00	.0678	281	3	100
03/13/2014 10:10:00	.056	246	3	100
03/13/2014 10:15:00	.1427	275	3	100
03/13/2014 10:20:00	.1663	271	3	100
03/13/2014 10:25:00	.0782	295	3	100
03/13/2014 10:30:00	.0719	271	3	100
03/13/2014 10:35:00	.07	280	3	100
03/13/2014 10:40:00	.081	323	3	100
03/13/2014 10:45:00	.0647	273	3	100
03/13/2014 10:50:00	.075	296	3	100
03/13/2014 10:55:00	.0689	279	3	100
03/13/2014 11:00:00	.0699	294	3	100
03/13/2014 11:05:00	.0612	245	3	100
03/13/2014 11:10:00	.0827	307	3	100
03/13/2014 11:15:00	.0692	287	3	100
03/13/2014 11:20:00	.0858	326	3	100
03/13/2014 11:25:00	.0748	312	3	100
03/13/2014 11:30:00	.0846	342	3	100
