Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.007	30	3	100
03/13/2014 00:05:00	.0135	40	3	100
03/13/2014 00:10:00	.0087	26	3	100
03/13/2014 00:15:00	.0092	35	3	100
03/13/2014 00:20:00	.0094	22	3	100
03/13/2014 00:25:00	.0116	42	3	100
03/13/2014 00:30:00	.0119	32	3	100
03/13/2014 00:35:00	.0105	26	3	100
03/13/2014 00:40:00	.0052	17	3	100
03/13/2014 00:45:00	.0065	22	3	100
03/13/2014 00:50:00	.0075	26	3	100
03/13/2014 00:55:00	.0079	18	3	100
03/13/2014 01:00:00	.0084	21	3	100
03/13/2014 01:05:00	.0101	24	3	100
03/13/2014 01:10:00	.0087	25	3	100
03/13/2014 01:15:00	.0172	30	3	100
03/13/2014 01:20:00	.0075	21	3	100
03/13/2014 01:25:00	.0098	25	3	100
03/13/2014 01:30:00	.0073	17	3	100
03/13/2014 01:35:00	.0083	18	3	100
03/13/2014 01:40:00	.0153	31	3	100
03/13/2014 01:45:00	.0086	21	3	100
03/13/2014 01:50:00	.0105	22	3	100
03/13/2014 01:55:00	.0079	16	3	100
03/13/2014 02:00:00	.009	19	3	100
03/13/2014 02:05:00	.0086	18	3	100
03/13/2014 02:10:00	.0127	23	3	100
03/13/2014 02:15:00	.0126	27	3	100
03/13/2014 02:20:00	.0089	21	3	100
03/13/2014 02:25:00	.013	27	3	100
03/13/2014 02:30:00	.0149	27	3	100
03/13/2014 02:35:00	.0193	38	3	100
03/13/2014 02:40:00	.0118	29	3	100
03/13/2014 02:45:00	.0168	40	3	100
03/13/2014 02:50:00	.0126	30	3	100
03/13/2014 02:55:00	.0134	33	3	100
03/13/2014 03:00:00	.0089	20	3	100
03/13/2014 03:05:00	.01	30	3	100
03/13/2014 03:10:00	.0181	40	3	100
03/13/2014 03:15:00	.0104	24	3	100
03/13/2014 03:20:00	.0179	38	3	100
03/13/2014 03:25:00	.0155	42	3	100
03/13/2014 03:30:00	.0246	56	3	100
03/13/2014 03:35:00	.0126	33	3	100
03/13/2014 03:40:00	.0167	42	3	100
03/13/2014 03:45:00	.0262	64	3	100
03/13/2014 03:50:00	.023	56	3	100
03/13/2014 03:55:00	.0238	63	3	100
03/13/2014 04:00:00	.0192	57	3	100
03/13/2014 04:05:00	.0244	67	3	100
03/13/2014 04:10:00	.0321	76	3	100
03/13/2014 04:15:00	.0331	103	3	100
03/13/2014 04:20:00	.0358	105	3	100
03/13/2014 04:25:00	.044	141	3	100
03/13/2014 04:30:00	.0447	144	3	100
03/13/2014 04:35:00	.0472	174	3	100
03/13/2014 04:40:00	.0462	161	3	100
03/13/2014 04:45:00	.0762	145	3	100
03/13/2014 04:50:00	.0488	162	3	100
03/13/2014 04:55:00	.0492	186	3	100
03/13/2014 05:00:00	.0458	170	3	100
03/13/2014 05:05:00	.0496	181	3	100
03/13/2014 05:10:00	.0619	211	3	100
03/13/2014 05:15:00	.0711	268	3	100
03/13/2014 05:20:00	.0584	225	3	100
03/13/2014 05:25:00	.1074	273	3	100
03/13/2014 05:30:00	.0714	256	3	100
03/13/2014 05:35:00	.0776	291	3	100
03/13/2014 05:40:00	.0705	254	3	100
03/13/2014 05:45:00	.0673	245	3	100
03/13/2014 05:50:00	.0684	242	3	100
03/13/2014 05:55:00	.0613	240	3	100
03/13/2014 06:00:00	.074	261	3	100
03/13/2014 06:05:00	.072	263	3	100
03/13/2014 06:10:00	.0748	265	3	100
03/13/2014 06:15:00	.0798	288	3	100
03/13/2014 06:20:00	.0768	290	3	100
03/13/2014 06:25:00	.0794	311	3	100
03/13/2014 06:30:00	.0883	326	3	100
03/13/2014 06:35:00	.0831	301	3	100
03/13/2014 06:40:00	.095	343	3	100
03/13/2014 06:45:00	.0909	348	3	100
03/13/2014 06:50:00	.0811	296	3	100
03/13/2014 06:55:00	.0855	318	3	100
03/13/2014 07:00:00	.088	301	3	100
03/13/2014 07:05:00	.095	350	3	100
03/13/2014 07:10:00	.0809	301	3	100
03/13/2014 07:15:00	.0922	337	3	100
03/13/2014 07:20:00	.0999	366	3	100
03/13/2014 07:25:00	.1107	423	3	100
