Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0129	49	3	100
03/13/2014 00:05:00	.0101	37	3	100
03/13/2014 00:10:00	.0106	40	3	100
03/13/2014 00:15:00	.0139	51	3	100
03/13/2014 00:20:00	.0143	53	3	100
03/13/2014 00:25:00	.0116	43	3	100
03/13/2014 00:30:00	.0138	51	3	100
03/13/2014 00:35:00	.0097	36	3	100
03/13/2014 00:40:00	.0129	47	3	100
03/13/2014 00:45:00	.0075	27	3	100
03/13/2014 00:50:00	.0061	22	3	100
03/13/2014 00:55:00	.011	41	3	100
03/13/2014 01:00:00	.0079	31	3	100
03/13/2014 01:05:00	.0067	25	3	100
03/13/2014 01:10:00	.007	25	3	100
03/13/2014 01:15:00	.0071	26	3	100
03/13/2014 01:20:00	.0083	30	3	100
03/13/2014 01:25:00	.0096	38	3	100
03/13/2014 01:30:00	.0105	37	3	100
03/13/2014 01:35:00	.0108	39	3	100
03/13/2014 01:40:00	.0079	27	3	100
03/13/2014 01:45:00	.0047	18	3	100
03/13/2014 01:50:00	.0103	33	3	100
03/13/2014 01:55:00	.0056	19	3	100
03/13/2014 02:00:00	.0036	13	3	100
03/13/2014 02:05:00	.0069	24	3	100
03/13/2014 02:10:00	.0038	16	3	100
03/13/2014 02:15:00	.0079	25	3	100
03/13/2014 02:20:00	.0028	10	3	100
03/13/2014 02:25:00	.0073	21	3	100
03/13/2014 02:30:00	.0061	21	3	100
03/13/2014 02:35:00	.0056	18	3	100
03/13/2014 02:40:00	.0069	21	3	100
03/13/2014 02:45:00	.0037	13	3	100
03/13/2014 02:50:00	.0056	18	3	100
03/13/2014 02:55:00	.0065	21	3	100
03/13/2014 03:00:00	.0087	29	3	100
03/13/2014 03:05:00	.0063	20	3	100
03/13/2014 03:10:00	.0087	24	3	100
03/13/2014 03:15:00	.0101	26	3	100
03/13/2014 03:20:00	.0104	31	3	100
03/13/2014 03:25:00	.0112	30	3	100
03/13/2014 03:30:00	.007	20	3	100
03/13/2014 03:35:00	.0107	27	3	100
03/13/2014 03:40:00	.0056	18	3	100
03/13/2014 03:45:00	.0073	23	3	100
03/13/2014 03:50:00	.0081	22	3	100
03/13/2014 03:55:00	.0079	23	3	100
03/13/2014 04:00:00	.0103	25	3	100
03/13/2014 04:05:00	.0083	23	3	100
03/13/2014 04:10:00	.0137	38	3	100
03/13/2014 04:15:00	.0068	21	3	100
03/13/2014 04:20:00	.0091	27	3	100
03/13/2014 04:25:00	.0099	31	3	100
03/13/2014 04:30:00	.0102	33	3	100
03/13/2014 04:35:00	.0065	21	3	100
03/13/2014 04:40:00	.0062	23	3	100
03/13/2014 04:45:00	.0091	30	3	100
03/13/2014 04:50:00	.0083	28	3	100
03/13/2014 04:55:00	.013	43	3	100
03/13/2014 05:00:00	.0129	41	3	100
03/13/2014 05:05:00	.013	42	3	100
03/13/2014 05:10:00	.0097	32	3	100
03/13/2014 05:15:00	.0152	52	3	100
03/13/2014 05:20:00	.0109	39	3	100
03/13/2014 05:25:00	.0197	70	3	100
03/13/2014 05:30:00	.0166	61	3	100
03/13/2014 05:35:00	.0177	66	3	100
03/13/2014 05:40:00	.0165	65	3	100
03/13/2014 05:45:00	.0176	66	3	100
03/13/2014 05:50:00	.0199	69	3	100
03/13/2014 05:55:00	.0277	95	3	100
03/13/2014 06:00:00	.0234	85	3	100
03/13/2014 06:05:00	.0217	79	3	100
03/13/2014 06:10:00	.0229	85	3	100
03/13/2014 06:15:00	.0273	97	3	100
03/13/2014 06:20:00	.0283	101	3	100
03/13/2014 06:25:00	.0307	112	3	100
03/13/2014 06:30:00	.0295	107	3	100
03/13/2014 06:35:00	.0317	121	3	100
03/13/2014 06:40:00	.0367	139	3	100
03/13/2014 06:45:00	.031	119	3	100
03/13/2014 06:50:00	.0382	143	3	100
03/13/2014 06:55:00	.0372	142	3	100
03/13/2014 07:00:00	.0356	135	3	100
03/13/2014 07:05:00	.0355	136	3	100
03/13/2014 07:10:00	.0292	108	3	100
03/13/2014 07:15:00	.0393	149	3	100
03/13/2014 07:20:00	.0393	150	3	100
03/13/2014 07:25:00	.0429	165	3	100
03/13/2014 07:30:00	.0494	186	3	100
03/13/2014 07:35:00	.05	186	3	100
03/13/2014 07:40:00	.0507	186	3	100
03/13/2014 07:45:00	.0454	170	3	100
03/13/2014 07:50:00	.048	177	3	100
