Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0163	59	3	100
03/13/2014 00:05:00	.0149	55	3	100
03/13/2014 00:10:00	.018	66	3	100
03/13/2014 00:15:00	.0172	64	3	100
03/13/2014 00:20:00	.0177	66	3	100
03/13/2014 00:25:00	.0156	59	3	100
03/13/2014 00:30:00	.0196	69	3	100
03/13/2014 00:35:00	.0169	60	3	100
03/13/2014 00:40:00	.0139	53	3	100
03/13/2014 00:45:00	.012	44	3	100
03/13/2014 00:50:00	.0127	47	3	100
03/13/2014 00:55:00	.0168	61	3	100
03/13/2014 01:00:00	.0112	41	3	100
03/13/2014 01:05:00	.0081	29	3	100
03/13/2014 01:10:00	.0087	33	3	100
03/13/2014 01:15:00	.0111	41	3	100
03/13/2014 01:20:00	.01	37	3	100
03/13/2014 01:25:00	.0151	56	3	100
03/13/2014 01:30:00	.0127	47	3	100
03/13/2014 01:35:00	.0139	52	3	100
03/13/2014 01:40:00	.0096	34	3	100
03/13/2014 01:45:00	.0057	21	3	100
03/13/2014 01:50:00	.0113	39	3	100
03/13/2014 01:55:00	.0047	19	3	100
03/13/2014 02:00:00	.0053	21	3	100
03/13/2014 02:05:00	.0057	22	3	100
03/13/2014 02:10:00	.0055	21	3	100
03/13/2014 02:15:00	.0069	25	3	100
03/13/2014 02:20:00	.0043	17	3	100
03/13/2014 02:25:00	.0074	27	3	100
03/13/2014 02:30:00	.0062	22	3	100
03/13/2014 02:35:00	.0054	19	3	100
03/13/2014 02:40:00	.0051	18	3	100
03/13/2014 02:45:00	.0054	21	3	100
03/13/2014 02:50:00	.0052	18	3	100
03/13/2014 02:55:00	.0092	31	3	100
03/13/2014 03:00:00	.0091	33	3	100
03/13/2014 03:05:00	.0052	18	3	100
03/13/2014 03:10:00	.0067	23	3	100
03/13/2014 03:15:00	.0065	22	3	100
03/13/2014 03:20:00	.0092	33	3	100
03/13/2014 03:25:00	.0079	27	3	100
03/13/2014 03:30:00	.0058	21	3	100
03/13/2014 03:35:00	.0068	24	3	100
03/13/2014 03:40:00	.0047	18	3	100
03/13/2014 03:45:00	.0074	26	3	100
03/13/2014 03:50:00	.007	23	3	100
03/13/2014 03:55:00	.0063	22	3	100
03/13/2014 04:00:00	.0065	24	3	100
03/13/2014 04:05:00	.0064	23	3	100
03/13/2014 04:10:00	.0092	32	3	100
03/13/2014 04:15:00	.0063	22	3	100
03/13/2014 04:20:00	.01	34	3	100
03/13/2014 04:25:00	.0098	36	3	100
03/13/2014 04:30:00	.009	34	3	100
03/13/2014 04:35:00	.0075	26	3	100
03/13/2014 04:40:00	.0093	34	3	100
03/13/2014 04:45:00	.0101	36	3	100
03/13/2014 04:50:00	.0087	31	3	100
03/13/2014 04:55:00	.0135	49	3	100
