5 Minutes	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
03/18/2014 00:00	121	61.6	3	0
03/18/2014 00:05	92	62.1	3	0
03/18/2014 00:10	89	62.1	3	0
03/18/2014 00:15	76	62.4	3	0
03/18/2014 00:20	93	62.4	3	0
03/18/2014 00:25	92	62.1	3	0
03/18/2014 00:30	66	62.7	3	0
03/18/2014 00:35	78	62.6	3	0
03/18/2014 00:40	63	62.9	3	0
03/18/2014 00:45	66	62.9	3	0
03/18/2014 00:50	63	63	3	0
03/18/2014 00:55	75	62.7	3	0
03/18/2014 01:00	63	63.1	3	0
03/18/2014 01:05	61	63.1	3	0
03/18/2014 01:10	56	63.1	3	0
03/18/2014 01:15	76	62.4	3	0
03/18/2014 01:20	58	61.2	3	0
03/18/2014 01:25	58	63.4	3	0
03/18/2014 01:30	67	63	3	0
03/18/2014 01:35	101	62.5	3	0
03/18/2014 01:40	70	62.9	3	0
03/18/2014 01:45	51	63.8	3	0
03/18/2014 01:50	74	62.8	3	0
03/18/2014 01:55	68	62.8	3	0
03/18/2014 02:00	75	61.6	3	0
03/18/2014 02:05	49	64.2	3	0
03/18/2014 02:10	54	62.9	3	0
03/18/2014 02:15	40	64.7	3	0
03/18/2014 02:20	57	63.3	3	0
03/18/2014 02:25	52	63.9	3	0
03/18/2014 02:30	45	64.3	3	0
03/18/2014 02:35	66	62.1	3	0
03/18/2014 02:40	45	64.3	3	0
03/18/2014 02:45	68	63.6	3	0
03/18/2014 02:50	53	64.2	3	0
03/18/2014 02:55	63	61.8	3	0
03/18/2014 03:00	49	64.5	3	0
03/18/2014 03:05	43	64.8	3	0
03/18/2014 03:10	63	63.8	3	0
03/18/2014 03:15	38	65.4	3	0
03/18/2014 03:20	49	63.5	3	0
03/18/2014 03:25	57	62.7	3	0
03/18/2014 03:30	59	62.1	3	0
03/18/2014 03:35	55	64	3	0
03/18/2014 03:40	52	64.1	3	0
03/18/2014 03:45	51	63.9	3	0
03/18/2014 03:50	66	63.2	3	0
03/18/2014 03:55	50	63.9	3	0
03/18/2014 04:00	72	61.5	3	0
03/18/2014 04:05	37	63.5	3	0
