Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0082	32	3	100
03/13/2014 00:05:00	.0099	37	3	100
03/13/2014 00:10:00	.0083	31	3	100
03/13/2014 00:15:00	.0109	40	3	100
03/13/2014 00:20:00	.0087	32	3	100
03/13/2014 00:25:00	.0125	45	3	100
03/13/2014 00:30:00	.0092	35	3	100
03/13/2014 00:35:00	.0075	27	3	100
03/13/2014 00:40:00	.0061	23	3	100
03/13/2014 00:45:00	.0053	20	3	100
03/13/2014 00:50:00	.0075	29	3	100
03/13/2014 00:55:00	.0064	24	3	100
03/13/2014 01:00:00	.0068	24	3	100
03/13/2014 01:05:00	.006	22	3	100
03/13/2014 01:10:00	.0062	24	3	100
03/13/2014 01:15:00	.0082	28	3	100
03/13/2014 01:20:00	.0064	23	3	100
03/13/2014 01:25:00	.0077	28	3	100
03/13/2014 01:30:00	.0051	18	3	100
03/13/2014 01:35:00	.0056	21	3	100
03/13/2014 01:40:00	.0081	29	3	100
03/13/2014 01:45:00	.0066	25	3	100
03/13/2014 01:50:00	.0066	24	3	100
03/13/2014 01:55:00	.0053	20	3	100
03/13/2014 02:00:00	.0046	16	3	100
03/13/2014 02:05:00	.0058	21	3	100
03/13/2014 02:10:00	.0055	19	3	100
03/13/2014 02:15:00	.0067	24	3	100
03/13/2014 02:20:00	.0086	31	3	100
03/13/2014 02:25:00	.0088	32	3	100
03/13/2014 02:30:00	.0071	25	3	100
03/13/2014 02:35:00	.0108	38	3	100
03/13/2014 02:40:00	.0057	21	3	100
03/13/2014 02:45:00	.0111	41	3	100
03/13/2014 02:50:00	.0115	41	3	100
03/13/2014 02:55:00	.0075	28	3	100
03/13/2014 03:00:00	.0066	23	3	100
03/13/2014 03:05:00	.0078	28	3	100
03/13/2014 03:10:00	.0092	35	3	100
03/13/2014 03:15:00	.0097	34	3	100
03/13/2014 03:20:00	.0098	37	3	100
03/13/2014 03:25:00	.0107	39	3	100
03/13/2014 03:30:00	.0114	43	3	100
03/13/2014 03:35:00	.0125	46	3	100
03/13/2014 03:40:00	.0097	36	3	100
03/13/2014 03:45:00	.0186	70	3	100
03/13/2014 03:50:00	.0152	56	3	100
03/13/2014 03:55:00	.0172	64	3	100
03/13/2014 04:00:00	.0143	56	3	100
03/13/2014 04:05:00	.017	64	3	100
03/13/2014 04:10:00	.0207	75	3	100
03/13/2014 04:15:00	.0252	95	3	100
03/13/2014 04:20:00	.0288	112	3	100
03/13/2014 04:25:00	.034	132	3	100
03/13/2014 04:30:00	.0352	136	3	100
03/13/2014 04:35:00	.0421	164	3	100
03/13/2014 04:40:00	.0423	164	3	100
03/13/2014 04:45:00	.0377	146	3	100
03/13/2014 04:50:00	.0445	171	3	100
03/13/2014 04:55:00	.0513	199	3	100
03/13/2014 05:00:00	.0423	167	3	100
03/13/2014 05:05:00	.0455	180	3	100
03/13/2014 05:10:00	.0564	217	3	100
03/13/2014 05:15:00	.0677	262	3	100
03/13/2014 05:20:00	.061	238	3	100
03/13/2014 05:25:00	.0662	256	3	100
03/13/2014 05:30:00	.0706	272	3	100
03/13/2014 05:35:00	.0732	282	3	100
03/13/2014 05:40:00	.0715	273	3	100
03/13/2014 05:45:00	.0684	262	3	100
03/13/2014 05:50:00	.0628	243	3	100
03/13/2014 05:55:00	.0622	237	3	100
03/13/2014 06:00:00	.0663	254	3	100
03/13/2014 06:05:00	.0719	276	3	100
03/13/2014 06:10:00	.0725	274	3	100
03/13/2014 06:15:00	.0801	302	3	100
03/13/2014 06:20:00	.0786	294	3	100
03/13/2014 06:25:00	.0911	340	3	100
03/13/2014 06:30:00	.0756	289	3	100
03/13/2014 06:35:00	.0964	351	3	100
03/13/2014 06:40:00	.0861	322	3	100
03/13/2014 06:45:00	.103	377	3	100
03/13/2014 06:50:00	.0895	329	3	100
03/13/2014 06:55:00	.0905	329	3	100
03/13/2014 07:00:00	.0915	336	3	100
03/13/2014 07:05:00	.0986	357	3	100
03/13/2014 07:10:00	.091	333	3	100
03/13/2014 07:15:00	.093	344	3	100
03/13/2014 07:20:00	.1027	373	3	100
03/13/2014 07:25:00	.1227	450	3	100
03/13/2014 07:30:00	.1075	392	3	100
03/13/2014 07:35:00	.0966	364	3	100
03/13/2014 07:40:00	.1084	399	3	100
03/13/2014 07:45:00	.1142	424	3	100
03/13/2014 07:50:00	.0987	363	3	100
03/13/2014 07:55:00	.113	421	3	100
03/13/2014 08:00:00	.1049	382	3	100
03/13/2014 08:05:00	.1115	409	3	100
03/13/2014 08:10:00	.0956	359	3	100
03/13/2014 08:15:00	.0969	360	3	100
