Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.0159	62	3	100
03/13/2014 00:05:00	.0154	61	3	100
03/13/2014 00:10:00	.0151	57	3	100
03/13/2014 00:15:00	.0188	69	3	100
03/13/2014 00:20:00	.0179	68	3	100
03/13/2014 00:25:00	.0144	56	3	100
03/13/2014 00:30:00	.0173	66	3	100
03/13/2014 00:35:00	.0169	62	3	100
03/13/2014 00:40:00	.0184	66	3	100
03/13/2014 00:45:00	.0109	44	3	100
03/13/2014 00:50:00	.0128	47	3	100
03/13/2014 00:55:00	.0176	68	3	100
03/13/2014 01:00:00	.0139	51	3	100
03/13/2014 01:05:00	.0083	33	3	100
03/13/2014 01:10:00	.0109	41	3	100
03/13/2014 01:15:00	.008	30	3	100
03/13/2014 01:20:00	.0128	46	3	100
03/13/2014 01:25:00	.0097	36	3	100
03/13/2014 01:30:00	.0163	60	3	100
03/13/2014 01:35:00	.0143	54	3	100
03/13/2014 01:40:00	.0108	38	3	100
03/13/2014 01:45:00	.0084	30	3	100
03/13/2014 01:50:00	.0088	30	3	100
03/13/2014 01:55:00	.0097	32	3	100
03/13/2014 02:00:00	.0038	14	3	100
03/13/2014 02:05:00	.0085	31	3	100
03/13/2014 02:10:00	.0047	18	3	100
03/13/2014 02:15:00	.0083	31	3	100
03/13/2014 02:20:00	.0027	10	3	100
03/13/2014 02:25:00	.0059	22	3	100
03/13/2014 02:30:00	.007	26	3	100
03/13/2014 02:35:00	.0061	22	3	100
03/13/2014 02:40:00	.005	19	3	100
03/13/2014 02:45:00	.0052	20	3	100
03/13/2014 02:50:00	.0048	20	3	100
03/13/2014 02:55:00	.0078	29	3	100
03/13/2014 03:00:00	.0085	30	3	100
03/13/2014 03:05:00	.0047	17	3	100
03/13/2014 03:10:00	.0054	20	3	100
03/13/2014 03:15:00	.0073	26	3	100
03/13/2014 03:20:00	.0084	30	3	100
03/13/2014 03:25:00	.0096	35	3	100
03/13/2014 03:30:00	.0061	23	3	100
03/13/2014 03:35:00	.0061	22	3	100
03/13/2014 03:40:00	.0068	26	3	100
03/13/2014 03:45:00	.0051	18	3	100
03/13/2014 03:50:00	.0076	29	3	100
03/13/2014 03:55:00	.0084	29	3	100
03/13/2014 04:00:00	.0072	25	3	100
03/13/2014 04:05:00	.0082	30	3	100
03/13/2014 04:10:00	.0069	26	3	100
03/13/2014 04:15:00	.0091	33	3	100
03/13/2014 04:20:00	.0082	30	3	100
03/13/2014 04:25:00	.0086	33	3	100
03/13/2014 04:30:00	.0095	35	3	100
03/13/2014 04:35:00	.0092	34	3	100
03/13/2014 04:40:00	.011	39	3	100
03/13/2014 04:45:00	.0132	48	3	100
03/13/2014 04:50:00	.0099	38	3	100
03/13/2014 04:55:00	.0129	47	3	100
03/13/2014 05:00:00	.0153	54	3	100
03/13/2014 05:05:00	.0152	54	3	100
03/13/2014 05:10:00	.0148	55	3	100
03/13/2014 05:15:00	.0194	73	3	100
03/13/2014 05:20:00	.0193	73	3	100
03/13/2014 05:25:00	.0249	93	3	100
03/13/2014 05:30:00	.0273	100	3	100
03/13/2014 05:35:00	.0297	113	3	100
03/13/2014 05:40:00	.0311	117	3	100
03/13/2014 05:45:00	.0281	107	3	100
03/13/2014 05:50:00	.0323	120	3	100
03/13/2014 05:55:00	.0398	141	3	100
03/13/2014 06:00:00	.0398	150	3	100
03/13/2014 06:05:00	.0334	124	3	100
03/13/2014 06:10:00	.0429	160	3	100
03/13/2014 06:15:00	.0469	179	3	100
03/13/2014 06:20:00	.0561	209	3	100
03/13/2014 06:25:00	.0578	216	3	100
03/13/2014 06:30:00	.058	215	3	100
03/13/2014 06:35:00	.0704	267	3	100
03/13/2014 06:40:00	.0889	321	3	100
03/13/2014 06:45:00	.0735	275	3	100
03/13/2014 06:50:00	.0696	259	3	100
03/13/2014 06:55:00	.0814	300	3	100
03/13/2014 07:00:00	.0653	244	3	100
