Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.017	60	3	100
03/13/2014 00:05:00	.022	55	3	100
03/13/2014 00:10:00	.0146	54	3	100
03/13/2014 00:15:00	.023	72	3	100
03/13/2014 00:20:00	.0209	62	3	100
03/13/2014 00:25:00	.0239	62	3	100
03/13/2014 00:30:00	.0176	64	3	100
03/13/2014 00:35:00	.0193	61	3	100
03/13/2014 00:40:00	.0228	68	3	100
03/13/2014 00:45:00	.0117	48	3	100
03/13/2014 00:50:00	.019	46	3	100
03/13/2014 00:55:00	.0169	56	3	100
03/13/2014 01:00:00	.0144	53	3	100
03/13/2014 01:05:00	.0111	37	3	100
03/13/2014 01:10:00	.0135	44	3	100
03/13/2014 01:15:00	.0094	35	3	100
03/13/2014 01:20:00	.0155	53	3	100
03/13/2014 01:25:00	.0121	38	3	100
03/13/2014 01:30:00	.0205	62	3	100
03/13/2014 01:35:00	.015	55	3	100
03/13/2014 01:40:00	.0138	44	3	100
03/13/2014 01:45:00	.0123	35	3	100
03/13/2014 01:50:00	.0139	32	3	100
03/13/2014 01:55:00	.0182	44	3	100
03/13/2014 02:00:00	.0037	15	3	100
03/13/2014 02:05:00	.0121	31	3	100
03/13/2014 02:10:00	.0063	22	3	100
03/13/2014 02:15:00	.0115	29	3	100
03/13/2014 02:20:00	.0058	15	3	100
03/13/2014 02:25:00	.0093	26	3	100
03/13/2014 02:30:00	.0091	30	3	100
03/13/2014 02:35:00	.0111	28	3	100
03/13/2014 02:40:00	.0072	18	3	100
03/13/2014 02:45:00	.0092	28	3	100
03/13/2014 02:50:00	.0114	29	3	100
03/13/2014 02:55:00	.0105	32	3	100
03/13/2014 03:00:00	.0165	54	3	100
03/13/2014 03:05:00	.005	21	3	100
03/13/2014 03:10:00	.01	28	3	100
03/13/2014 03:15:00	.0166	33	3	100
03/13/2014 03:20:00	.0187	40	3	100
03/13/2014 03:25:00	.0273	54	3	100
03/13/2014 03:30:00	.0151	31	3	100
03/13/2014 03:35:00	.0119	32	3	100
03/13/2014 03:40:00	.0128	38	3	100
03/13/2014 03:45:00	.0117	30	3	100
03/13/2014 03:50:00	.0126	32	3	100
03/13/2014 03:55:00	.0199	43	3	100
03/13/2014 04:00:00	.0125	33	3	100
03/13/2014 04:05:00	.0174	42	3	100
03/13/2014 04:10:00	.0109	37	3	100
03/13/2014 04:15:00	.0194	53	3	100
03/13/2014 04:20:00	.0187	37	3	100
03/13/2014 04:25:00	.0132	38	3	100
03/13/2014 04:30:00	.0139	40	3	100
03/13/2014 04:35:00	.014	46	3	100
03/13/2014 04:40:00	.011	43	3	100
03/13/2014 04:45:00	.0198	54	3	100
03/13/2014 04:50:00	.0126	48	3	100
03/13/2014 04:55:00	.0202	55	3	100
03/13/2014 05:00:00	.0264	67	3	100
03/13/2014 05:05:00	.0165	50	3	100
03/13/2014 05:10:00	.0226	63	3	100
03/13/2014 05:15:00	.0192	74	3	100
03/13/2014 05:20:00	.0238	75	3	100
03/13/2014 05:25:00	.0303	102	3	100
03/13/2014 05:30:00	.0353	99	3	100
03/13/2014 05:35:00	.0317	109	3	100
03/13/2014 05:40:00	.0247	102	3	100
03/13/2014 05:45:00	.0253	104	3	100
03/13/2014 05:50:00	.0354	123	3	100
03/13/2014 05:55:00	.0497	131	3	100
03/13/2014 06:00:00	.0416	145	3	100
03/13/2014 06:05:00	.0384	124	3	100
03/13/2014 06:10:00	.0334	131	3	100
03/13/2014 06:15:00	.0484	165	3	100
03/13/2014 06:20:00	.0441	173	3	100
03/13/2014 06:25:00	.0465	164	3	100
03/13/2014 06:30:00	.0502	176	3	100
03/13/2014 06:35:00	.0569	205	3	100
03/13/2014 06:40:00	.0594	241	3	100
03/13/2014 06:45:00	.0532	216	3	100
03/13/2014 06:50:00	.0547	200	3	100
03/13/2014 06:55:00	.0533	229	3	100
03/13/2014 07:00:00	.0484	190	3	100
03/13/2014 07:05:00	.0572	223	3	100
03/13/2014 07:10:00	.0616	258	3	100
03/13/2014 07:15:00	.0711	264	3	100
03/13/2014 07:20:00	.0677	260	3	100
03/13/2014 07:25:00	.0775	302	3	100
03/13/2014 07:30:00	.0775	312	3	100
03/13/2014 07:35:00	.0726	307	3	100
03/13/2014 07:40:00	.106	336	3	100
03/13/2014 07:45:00	.126	364	3	100
03/13/2014 07:50:00	.0919	345	3	100
03/13/2014 07:55:00	.092	348	3	100
03/13/2014 08:00:00	.077	277	3	100
03/13/2014 08:05:00	.0715	284	3	100
03/13/2014 08:10:00	.0692	298	3	100
03/13/2014 08:15:00	.0852	327	3	100
03/13/2014 08:20:00	.0898	371	3	100
03/13/2014 08:25:00	.0892	322	3	100
03/13/2014 08:30:00	.0861	341	3	100
03/13/2014 08:35:00	.0798	335	3	100
03/13/2014 08:40:00	.0842	306	3	100
03/13/2014 08:45:00	.0733	279	3	100
03/13/2014 08:50:00	.061	241	3	100
03/13/2014 08:55:00	.0619	258	3	100
03/13/2014 09:00:00	.0616	242	3	100
03/13/2014 09:05:00	.0645	232	3	100
03/13/2014 09:10:00	.0469	199	3	100
03/13/2014 09:15:00	.0554	216	3	100
03/13/2014 09:20:00	.0617	234	3	100
03/13/2014 09:25:00	.0632	252	3	100
03/13/2014 09:30:00	.0743	238	3	100
03/13/2014 09:35:00	.0671	232	3	100
03/13/2014 09:40:00	.065	226	3	100
03/13/2014 09:45:00	.0683	237	3	100
03/13/2014 09:50:00	.0587	224	3	100
03/13/2014 09:55:00	.0587	201	3	100
03/13/2014 10:00:00	.0556	208	3	100
03/13/2014 10:05:00	.0589	223	3	100
03/13/2014 10:10:00	.05	211	3	100
03/13/2014 10:15:00	.0627	204	3	100
03/13/2014 10:20:00	.0712	226	3	100
03/13/2014 10:25:00	.0643	214	3	100
